sensorname,timeline,humidity,lat,lng
Modesto,2022-06-22 18:52:52.657,6.1536,37.6375,-121.0028
Indio,2022-06-22 18:52:51.673,3.344,33.7346,-116.2346
Kissimmee,2022-06-22 18:52:47.480,4.1568,28.3041,-81.4169
Youngstown,2022-06-22 18:52:35.933,2.336,41.0993,-80.6463
Pensacola,2022-06-22 18:52:47.377,2.8832,30.4413,-87.1911
Lancaster,2022-06-22 18:52:52.887,2.064,34.6935,-118.1753
Anaheim,2022-06-22 18:52:51.693,8.6752,33.8390,-117.8574
Fayetteville,2022-06-22 18:52:45.737,1.9744,36.0714,-94.1661
Jackson,2022-06-22 18:52:47.267,1.8112,32.3157,-90.2125
Victorville,2022-06-22 18:52:54.100,2.0608,34.5277,-117.3536
Bonita Springs,2022-06-22 18:52:46.597,1.856,26.3558,-81.7859
Greensboro,2022-06-22 18:52:45.727,2.8064,36.0956,-79.8271
Corpus Christi,2022-06-22 18:52:52.087,2.4832,27.7254,-97.3767
Flint,2022-06-22 18:52:35.320,3.5456,43.0236,-83.6921
Fayetteville,2022-06-22 18:52:45.860,1.76,35.0850,-78.9772
Santa Ana,2022-06-22 18:52:54.333,15.0304,33.7367,-117.8819
Fort Wayne,2022-06-22 18:52:40.630,2.992,41.0888,-85.1436
Mobile,2022-06-22 18:52:38.380,1.68,30.6782,-88.1162
Lansing,2022-06-22 18:52:35.473,3.7056,42.7142,-84.5601
Ann Arbor,2022-06-22 18:52:35.543,5.3024,42.2759,-83.7310
Huntsville,2022-06-22 18:52:37.430,1.1296,34.6981,-86.6412
Lexington,2022-06-22 18:52:47.580,1.4016,38.0423,-84.4587
Santa Rosa,2022-06-22 18:52:53.857,5.1808,38.4458,-122.7067
Antioch,2022-06-22 18:52:51.273,4.72,37.9787,-121.7960
Asheville,2022-06-22 18:52:45.780,2.5056,35.5707,-82.5537
Henderson,2022-06-22 18:52:52.730,3.6032,36.0133,-115.0381
St. Paul,2022-06-22 18:52:41.310,7.2704,44.9478,-93.1039
Fort Collins,2022-06-22 18:52:52.520,3.584,40.5477,-105.0656
Lakeland,2022-06-22 18:52:47.477,2.0576,28.0557,-81.9545
Springfield,2022-06-22 18:52:42.273,2.512,37.1943,-93.2916
The Woodlands,2022-06-22 18:52:51.957,3.264,30.1738,-95.5134
Shreveport,2022-06-22 18:52:48.137,2.176,32.4653,-93.7955
Trenton,2022-06-22 18:52:33.753,13.5936,40.2237,-74.7641
Plano,2022-06-22 18:52:53.033,4.976,33.0502,-96.7486
Round Lake Beach,2022-06-22 18:52:43.540,6.688,42.3791,-88.0811
South Bend,2022-06-22 18:52:41.610,3.0208,41.6767,-86.2696
Savannah,2022-06-22 18:52:48.200,1.68,32.0286,-81.1821
Newark,2022-06-22 18:52:35.160,14.4256,40.7245,-74.1725
Davenport,2022-06-22 18:52:39.450,1.9776,41.5565,-90.6053
Myrtle Beach,2022-06-22 18:52:47.087,1.7664,33.7094,-78.8844
Lincoln,2022-06-22 18:52:41.727,3.6192,40.8099,-96.6784
Rockford,2022-06-22 18:52:41.503,2.8192,42.2596,-89.0640
Reading,2022-06-22 18:52:33.557,11.0848,40.3400,-75.9267
Canton,2022-06-22 18:52:33.333,3.3248,40.8078,-81.3676
Irvine,2022-06-22 18:52:51.697,5.1328,33.6772,-117.7738
Eugene,2022-06-22 18:52:52.377,4.7648,44.0564,-123.1174
Chula Vista,2022-06-22 18:52:51.720,6.688,32.6281,-117.0144
St. Petersburg,2022-06-22 18:52:48.347,5.2736,27.7931,-82.6652
Salem,2022-06-22 18:52:53.593,4.3488,44.9233,-123.0244
Lafayette,2022-06-22 18:52:47.413,2.8032,30.2082,-92.0325
Laredo,2022-06-22 18:52:53.373,3.0208,27.5625,-99.4874
Jersey City,2022-06-22 18:52:35.970,22.0096,40.7184,-74.0686
Santa Clarita,2022-06-22 18:52:54.233,3.7088,34.4175,-118.4964
Aguadilla,2022-06-20 08:33:07.977,5.3792,18.4382,-67.1537
Wilmington,2022-06-22 18:52:47.947,2.9344,34.2099,-77.8866
Lubbock,2022-06-22 18:52:52.973,2.3584,33.5657,-101.8879
Chandler,2022-06-22 18:52:51.680,4.864,33.2825,-111.8514
Scottsdale,2022-06-22 18:52:54.310,1.712,33.6872,-111.8651
Tallahassee,2022-06-22 18:52:48.283,2.3584,30.4551,-84.2527
Montgomery,2022-06-22 18:52:40.723,1.536,32.3482,-86.2668
Peoria,2022-06-22 18:52:41.743,2.8992,40.7520,-89.6154
Glendale,2022-06-22 18:52:52.933,5.0176,33.5791,-112.2311
Columbus,2022-06-22 18:52:47.257,1.1136,32.5100,-84.8771
Anchorage,2022-06-22 18:52:55.757,0.2112,61.1508,-149.1091
Gilbert,2022-06-22 18:52:54.317,4.4736,33.3100,-111.7463
North Las Vegas,2022-06-22 18:52:52.733,3.0144,36.2883,-115.0888
Avondale,2022-06-22 18:52:51.680,2.2496,33.3873,-112.3235
McKinney,2022-06-22 18:52:53.027,3.5264,33.2016,-96.6670
Norfolk,2022-06-22 18:52:36.240,5.664,36.8945,-76.2590
Chesapeake,2022-06-22 18:52:36.243,0.8832,36.6778,-76.3023
Kennewick,2022-06-22 18:52:50.850,3.7184,46.1978,-119.1732
Winter Haven,2022-06-22 18:52:48.340,1.632,28.0118,-81.7014
Irving,2022-06-22 18:52:51.807,4.4352,32.8583,-96.9702
Garland,2022-06-22 18:52:53.077,5.1584,32.9100,-96.6304
York,2022-06-22 18:52:33.843,10.2752,39.9651,-76.7315
Concord,2022-06-22 18:52:46.930,1.8304,35.3933,-80.6369
Arlington,2022-06-22 18:52:38.483,11.2352,38.8786,-77.1011
Atlantic City,2022-06-22 18:52:36.167,4.3392,39.3797,-74.4527
Visalia,2022-06-22 18:52:54.010,4.3328,36.3276,-119.3269
Fremont,2022-06-22 18:52:52.663,3.7024,37.5265,-121.9843
Hialeah,2022-06-22 18:52:47.527,13.3888,25.8696,-80.3045
Nashua,2022-06-22 18:52:35.353,3.568,42.7491,-71.4910
Killeen,2022-06-22 18:52:53.223,3.344,31.0753,-97.7297
Gulfport,2022-06-22 18:52:46.317,1.5904,30.4274,-89.0704
Brownsville,2022-06-22 18:52:52.113,1.7088,25.9975,-97.4580
Evansville,2022-06-22 18:52:46.100,3.088,37.9881,-87.5341
Appleton,2022-06-22 18:52:34.770,3.68,44.2780,-88.3892
Navarre,2022-06-22 18:52:59.387,2,30.4174,-86.8907
Bel Air South,2022-06-22 18:53:45.963,3.1936,39.5022,-76.3113
Kalamazoo,2022-06-22 18:52:35.557,3.8048,42.2749,-85.5882
Bremerton,2022-06-22 18:52:50.780,1.792,47.5436,-122.7121
Spring Valley,2022-06-22 18:53:06.203,7.6096,36.0952,-115.2636
San Bernardino,2022-06-22 18:52:54.097,4.3104,34.1416,-117.2943
Roanoke,2022-06-22 18:52:36.227,2.88,37.2785,-79.9581
Spartanburg,2022-06-22 18:52:47.853,2.304,34.9442,-81.9251
Tacoma,2022-06-22 18:52:53.500,5.36,47.2431,-122.4531
Enterprise,2022-06-22 18:53:06.197,4.016,36.0091,-115.2278
Green Bay,2022-06-22 18:52:34.713,2.8384,44.5148,-87.9895
Portland,2022-06-22 18:52:32.697,3.824,43.6773,-70.2715
Thousand Oaks,2022-06-22 18:52:54.213,2.8512,34.1914,-118.8756
Fontana,2022-06-22 18:52:52.773,6.0992,34.0968,-117.4599
Hickory,2022-06-22 18:52:46.893,1.648,35.7410,-81.3223
Moreno Valley,2022-06-22 18:52:52.923,5.024,33.9244,-117.2045
Deltona,2022-06-22 18:52:47.443,3.04,28.9050,-81.2137
Fargo,2022-06-22 18:52:32.547,3.0624,46.8651,-96.8292
Santa Barbara,2022-06-22 18:52:54.200,5.7568,34.4285,-119.7202
College Station,2022-06-22 18:52:51.940,2.7936,30.5852,-96.2959
Gainesville,2022-06-22 18:52:46.393,2.6112,29.6804,-82.3459
Amarillo,2022-06-22 18:52:51.527,2.4032,35.1984,-101.8316
Norwich,2022-06-22 18:52:37.197,1.7216,41.5495,-72.0882
Olympia,2022-06-22 18:52:52.237,3.5456,47.0417,-122.8959
Yonkers,2022-06-22 18:52:35.847,13.7344,40.9466,-73.8673
Huntington Beach,2022-06-22 18:52:52.947,9.1424,33.6960,-118.0018
Glendale,2022-06-22 18:52:52.853,8.08,34.1819,-118.2468
Aurora,2022-06-22 18:52:39.403,5.4688,41.7638,-88.2902
Huntington,2022-06-22 18:52:38.580,3.5136,38.4109,-82.4345
Sunrise Manor,2022-06-22 18:53:06.203,7.2608,36.1783,-115.0487
North Port,2022-06-22 18:52:47.490,0.8544,27.0576,-82.1977
Hagerstown,2022-06-22 18:52:37.983,4.064,39.6401,-77.7217
Grand Prairie,2022-06-22 18:52:53.080,3.2992,32.6871,-97.0208
Overland Park,2022-06-22 18:52:36.203,3.1776,38.8870,-94.6870
Paradise,2022-06-22 18:53:06.113,5.6256,36.0872,-115.1355
Tempe,2022-06-22 18:52:54.313,5.9264,33.3881,-111.9319
Salinas,2022-06-22 18:52:54.003,8.2048,36.6883,-121.6317
Erie,2022-06-22 18:52:32.847,6.2336,42.1167,-80.0733
Cedar Rapids,2022-06-22 18:52:32.840,2.2784,41.9662,-91.6783
Waterbury,2022-06-22 18:52:37.220,4.672,41.5582,-73.0361
Frisco,2022-06-22 18:52:53.023,3.3888,33.1560,-96.8216
Waco,2022-06-22 18:52:54.510,1.9168,31.5599,-97.1882
Gastonia,2022-06-22 18:52:45.837,1.8304,35.2494,-81.1854
Clarksville,2022-06-22 18:52:46.790,1.9392,36.5692,-87.3413
Vancouver,2022-06-22 18:52:53.560,4.6336,45.6366,-122.5967
Lorain,2022-06-22 18:52:33.013,3.3408,41.4409,-82.1840
Nampa,2022-06-22 18:52:52.410,3.5712,43.5844,-116.5638
Fort Lauderdale,2022-06-22 18:52:46.607,6.4928,26.1412,-80.1464
Hemet,2022-06-22 18:52:52.920,3.5712,33.7341,-116.9969
Newport News,2022-06-22 18:52:36.233,3.216,37.1051,-76.5185
Ontario,2022-06-22 18:52:52.780,4.4032,34.0393,-117.6064
Rancho Cucamonga,2022-06-22 18:52:52.780,5.4848,34.1247,-117.5667
Vallejo,2022-06-22 18:52:53.870,4.9248,38.1125,-122.2342
Oceanside,2022-06-22 18:52:52.993,5.2576,33.2247,-117.3083
Vero Beach South,2022-06-22 18:53:46.223,3.0048,27.6132,-80.4163
Ocala,2022-06-22 18:52:47.437,1.568,29.1780,-82.1511
Sioux Falls,2022-06-22 18:52:35.017,2.8256,43.5396,-96.7311
Danbury,2022-06-22 18:52:37.207,2.4864,41.4015,-73.4709
Elk Grove,2022-06-22 18:52:52.617,5.1008,38.4161,-121.3842
High Point,2022-06-22 18:52:46.850,2.464,35.9910,-79.9937
Garden Grove,2022-06-22 18:52:52.947,11.888,33.7787,-117.9601
Peoria,2022-06-22 18:52:52.937,1.2064,33.7843,-112.2989
Pembroke Pines,2022-06-22 18:52:47.510,6.4992,26.0128,-80.3382
Medford,2022-06-22 18:52:52.447,3.9168,42.3372,-122.8540
Murfreesboro,2022-06-22 18:52:46.867,2.7808,35.8490,-86.4121
Cary,2022-06-22 18:52:48.567,3.5264,35.7819,-78.8195
Lafayette,2022-06-22 18:52:40.723,3.0496,40.3991,-86.8593
Corona,2022-06-22 18:52:51.677,5.2,33.8616,-117.5649
Santa Cruz,2022-06-22 18:52:53.950,6.304,36.9789,-122.0346
Spring Hill,2022-06-22 18:52:46.477,2.3424,28.4798,-82.5300
Muskegon,2022-06-22 18:52:35.240,3.2576,43.2281,-86.2562
Manchester,2022-06-22 18:52:35.353,4.1984,42.9848,-71.4447
Marysville,2022-06-22 18:52:52.160,4.144,48.0809,-122.1561
Springfield,2022-06-22 18:52:41.887,2.3232,39.7709,-89.6540
Frederick,2022-06-22 18:52:38.080,3.7056,39.4337,-77.4141
Hayward,2022-06-22 18:52:52.663,4.2816,37.6328,-122.0766
Alexandria,2022-06-22 18:52:36.207,13.0944,38.8185,-77.0861
Bayamón,2022-06-20 08:33:07.993,7.2,18.3794,-66.1635
Port Arthur,2022-06-22 18:52:53.290,0.8736,29.8554,-93.9264
Lakewood,2022-06-22 18:52:52.567,4.4256,39.6977,-105.1172
Fredericksburg,2022-06-22 18:52:36.217,3.4336,38.2992,-77.4872
Leesburg,2022-06-22 18:52:47.453,0.7424,28.7672,-81.8962
Hollywood,2022-06-22 18:52:47.513,6.9664,26.0293,-80.1679
Palmdale,2022-06-22 18:52:52.873,1.7824,34.5944,-118.1057
Macon,2022-06-22 18:53:15.827,0.7552,32.8065,-83.6974
Kansas City,2022-06-22 18:52:33.997,1.5136,39.1235,-94.7443
Champaign,2022-06-22 18:52:39.610,4.7552,40.1142,-88.2737
Sunnyvale,2022-06-22 18:52:53.943,8.544,37.3836,-122.0255
Pasadena,2022-06-22 18:52:53.300,4.3136,29.6575,-95.1498
Pomona,2022-06-22 18:52:52.877,8.1216,34.0585,-117.7626
Escondido,2022-06-22 18:52:52.990,4.9728,33.1348,-117.0723
Mauldin,2022-06-22 18:52:47.847,2.6944,34.7821,-82.3032
New Bedford,2022-06-22 18:52:35.590,5.888,41.6697,-70.9428
Panama City,2022-06-22 18:52:47.403,1.264,30.1995,-85.6003
Tuscaloosa,2022-06-22 18:52:37.933,2.0064,33.2348,-87.5268
Warner Robins,2022-06-22 18:52:48.170,2.5152,32.5961,-83.6527
Naperville,2022-06-22 18:52:40.513,4.6688,41.7480,-88.1659
Merced,2022-06-22 18:52:52.683,4.4672,37.3057,-120.4779
Elkhart,2022-06-22 18:52:40.557,2.3648,41.6916,-85.9627
Joliet,2022-06-22 18:52:40.563,2.8192,41.5188,-88.1499
Binghamton,2022-06-22 18:52:32.830,5.2832,42.1014,-75.9093
Houma,2022-06-22 18:52:47.433,2.8224,29.5800,-90.7059
Bellevue,2022-06-22 18:52:50.787,5.3952,47.5951,-122.1535
Topeka,2022-06-22 18:52:33.990,2.528,39.0346,-95.6955
Paterson,2022-06-22 18:52:33.207,21.3632,40.9147,-74.1624
Lake Charles,2022-06-22 18:52:47.410,2.1056,30.2010,-93.2111
Torrance,2022-06-22 18:52:54.243,8.6944,33.8346,-118.3416
Thornton,2022-06-22 18:52:53.793,4.9568,39.9197,-104.9438
Tyler,2022-06-22 18:52:54.447,2.2752,32.3184,-95.3062
Athens,2022-06-22 18:53:01.833,1.3248,33.9508,-83.3689
Beaumont,2022-06-22 18:52:51.983,1.7568,30.0849,-94.1451
Pueblo,2022-06-22 18:52:52.627,2.4928,38.2701,-104.6114
Odessa,2022-06-22 18:52:53.163,2.9632,31.8801,-102.3448
Mesquite,2022-06-22 18:52:53.083,3.6288,32.7602,-96.5865
Fairfield,2022-06-22 18:52:52.623,3.4592,38.2583,-122.0335
Pasadena,2022-06-22 18:52:52.877,7.6416,34.1597,-118.1390
Charleston,2022-06-22 18:52:38.567,1.8528,38.3484,-81.6322
Fullerton,2022-06-22 18:52:52.947,7.7728,33.8841,-117.9279
Miramar,2022-06-22 18:52:47.507,6.0128,25.9773,-80.3351
Midland,2022-06-22 18:52:53.163,2.3104,32.0243,-102.1147
Gainesville,2022-06-22 18:52:45.983,1.5328,34.2902,-83.8294
Orange,2022-06-22 18:52:52.953,6.704,33.8038,-117.8218
Olathe,2022-06-22 18:52:36.203,2.7776,38.8833,-94.8200
Santa Maria,2022-06-22 18:52:54.200,5.7152,34.9333,-120.4431
Surprise,2022-06-22 18:52:54.310,1.5552,33.6815,-112.4515
Roseville,2022-06-22 18:52:52.603,3.8912,38.7703,-121.3196
Metairie,2022-06-22 18:52:46.363,7.3568,29.9977,-90.1780
Yuma,2022-06-22 18:52:54.367,0.9952,32.5995,-114.5491
Carrollton,2022-06-22 18:52:51.807,4.6272,32.9890,-96.8999
Burlington,2022-06-22 18:52:45.733,2.2368,36.0760,-79.4685
West Valley City,2022-06-22 18:52:53.760,4.6752,40.6886,-112.0123
Hampton,2022-06-22 18:52:36.237,3.2448,37.0551,-76.3630
Racine,2022-06-22 18:52:34.863,6.1376,42.7274,-87.8135
Greeley,2022-06-22 18:52:52.520,2.7104,40.4152,-104.7706
Harlingen,2022-06-22 18:52:53.407,2,26.1916,-97.6977
Carolina,2022-06-20 08:33:08.007,8.0064,18.4054,-65.9792
Warren,2022-06-22 18:52:34.787,4.8224,42.4934,-83.0270
Grand Junction,2022-06-22 18:52:52.600,1.9392,39.0877,-108.5673
Coral Springs,2022-06-22 18:52:47.503,7.2064,26.2702,-80.2591
Columbia,2022-06-22 18:52:39.760,2.2752,38.9472,-92.3268
Bloomington,2022-06-22 18:52:39.577,3.5392,40.4757,-88.9703
Sterling Heights,2022-06-22 18:52:35.463,4.4832,42.5809,-83.0305
Stamford,2022-06-22 18:52:37.210,4.2688,41.1039,-73.5585
Kent,2022-06-22 18:52:50.793,4.7584,47.3887,-122.2128
Bellingham,2022-06-22 18:52:50.717,3.9872,48.7548,-122.4690
Las Cruces,2022-06-22 18:52:53.053,1.6512,32.3265,-106.7893
Greenville,2022-06-22 18:52:45.777,3.1328,35.5943,-77.3760
Round Rock,2022-06-22 18:52:53.250,4.2272,30.5270,-97.6642
Elizabeth,2022-06-22 18:52:35.983,12.8864,40.6658,-74.1913
South Lyon,2022-06-22 18:52:34.803,3.9008,42.4614,-83.6526
Simi Valley,2022-06-22 18:52:54.213,3.7376,34.2663,-118.7490
Santa Clara,2022-06-22 18:52:53.940,8.5664,37.3646,-121.9680
Yakima,2022-06-22 18:52:53.523,4.1664,46.5923,-120.5496
Johnson City,2022-06-22 18:52:46.833,1.9072,36.3406,-82.3806
Dover,2022-06-22 18:52:38.180,1.9744,39.1610,-75.5202
Pearland,2022-06-22 18:52:53.350,3.1936,29.5581,-95.3218
Lynchburg,2022-06-22 18:52:36.227,2.0416,37.4003,-79.1909
Fort Smith,2022-06-22 18:52:45.827,1.6928,35.3495,-94.3695
Yuba City,2022-06-22 18:52:53.833,5.4976,39.1357,-121.6383
Lehigh Acres,2022-06-22 18:52:46.590,1.6576,26.6120,-81.6388
Kenosha,2022-06-22 18:52:35.530,4.3488,42.5865,-87.8773
Arecibo,2022-06-20 08:32:55.937,3.104,18.4491,-66.7387
Berkeley,2022-06-22 18:52:51.283,14.5728,37.8722,-122.2760
Boulder,2022-06-22 18:52:51.143,5.104,40.0248,-105.2524
Texas City,2022-06-22 18:52:54.603,0.9216,29.4154,-94.9682
Iowa City,2022-06-22 18:52:32.903,3.6608,41.6559,-91.5303
Waldorf,2022-06-22 18:52:38.547,2.6464,38.6085,-76.9194
East Los Angeles,2022-06-22 18:52:51.577,19.9744,34.0326,-118.1691
Redding,2022-06-22 18:52:52.510,1.904,40.5698,-122.3650
Arvada,2022-06-22 18:52:51.157,3.8176,39.8320,-105.1510
The Villages,2022-06-22 18:52:46.437,3.0816,28.9034,-81.9887
Saginaw,2022-06-22 18:52:35.183,3.4976,43.4199,-83.9501
Ponce,2022-06-20 08:32:56.040,4.7904,18.0127,-66.6212
Richardson,2022-06-22 18:52:53.080,5.1264,32.9716,-96.7093
Sugar Land,2022-06-22 18:52:54.587,3.6192,29.5935,-95.6358
Leominster,2022-06-22 18:52:32.807,1.7824,42.5209,-71.7717
St. Cloud,2022-06-22 18:52:41.250,2.112,45.5340,-94.1718
Duluth,2022-06-22 18:52:40.057,1.4784,46.7756,-92.1393
