result,table,_start,_stop,_time,_value,_field,_measurement
,,2,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-29T22:30:00Z,662.4,value,Imac_gestern
,,2,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-30T21:00:00Z,662.4,value,Imac_gestern
,,2,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-30T22:30:00Z,730.17,value,Imac_gestern
,,2,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-31T22:30:00Z,300.96,value,Imac_gestern
,,2,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-08-01T07:00:00Z,300.96,value,Imac_gestern
,,2,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-08-01T22:30:00Z,1021.44,value,Imac_gestern
,,3,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-26T22:30:00Z,832.73,value,Kuehlschrank_gestern
,,3,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-27T22:30:00Z,722.04,value,Kuehlschrank_gestern
,,3,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-28T22:30:00Z,736.38,value,Kuehlschrank_gestern
,,3,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-29T11:00:00Z,736.38,value,Kuehlschrank_gestern
,,3,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-29T22:30:00Z,681.73,value,Kuehlschrank_gestern
,,3,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-30T21:00:00Z,681.73,value,Kuehlschrank_gestern
,,3,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-30T22:30:00Z,752.04,value,Kuehlschrank_gestern
,,3,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-31T22:30:00Z,823.55,value,Kuehlschrank_gestern
,,3,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-08-01T07:00:00Z,823.55,value,Kuehlschrank_gestern
,,3,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-08-01T22:30:00Z,724.55,value,Kuehlschrank_gestern
,,4,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-26T22:30:00Z,221.5,value,Ventilator_gestern
,,4,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-27T22:30:00Z,83.53,value,Ventilator_gestern
,,4,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-28T22:30:00Z,57.6,value,Ventilator_gestern
,,4,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-29T11:00:00Z,57.6,value,Ventilator_gestern
,,4,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-29T22:30:00Z,71.77,value,Ventilator_gestern
,,4,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-30T21:00:00Z,71.77,value,Ventilator_gestern
,,4,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-30T22:30:00Z,49.26,value,Ventilator_gestern
,,4,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-31T22:30:00Z,54.1,value,Ventilator_gestern
,,4,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-08-01T07:00:00Z,54.1,value,Ventilator_gestern
,,4,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-08-01T22:30:00Z,55.38,value,Ventilator_gestern
