sensorname,timeline,humidity,lat,lng,state_name
Milwaukee,2022-06-01 16:48:23.997,7.6128,43.0642,-87.9675,Wisconsin
Providence,2022-06-01 16:45:18.337,12.0448,41.8230,-71.4187,Rhode Island
Jacksonville,2022-06-01 16:44:39.057,1.4912,30.3322,-81.6749,Florida
Salt Lake City,2022-06-01 16:44:09.697,2.24,40.7776,-111.9311,Utah
Nashville,2022-06-01 16:43:15.827,1.7312,36.1715,-86.7842,Tennessee
Raleigh,2022-06-01 16:43:07.747,3.9424,35.8324,-78.6429,North Carolina
Memphis,2022-06-01 16:43:06.280,2.7072,35.1087,-89.9663,Tennessee
Richmond,2022-06-01 16:42:19.067,4.7232,37.5295,-77.4756,Virginia
Louisville,2022-06-01 16:41:58.770,2.8992,38.1663,-85.6485,Kentucky
New Orleans,2022-06-01 16:41:11.733,2.8512,30.0687,-89.9288,Louisiana
Bridgeport,2022-06-01 16:41:02.867,11.152,41.1918,-73.1954,Connecticut
Scranton,2022-06-01 16:31:34.820,3.7568,41.4044,-75.6649,Pennsylvania
Aurora,2022-06-01 16:31:33.383,2.9248,39.7083,-104.7237,Colorado
Oklahoma City,2022-06-01 16:41:01.197,1.3216,35.4676,-97.5136,Oklahoma
Buffalo,2022-06-01 16:40:40.557,7.8272,42.9018,-78.8487,New York
Hartford,2022-06-01 16:40:32.383,8.7104,41.7661,-72.6834,Connecticut
Fort Worth,2022-06-01 16:40:06.170,3.1744,32.7817,-97.3474,Texas
Tucson,2022-06-01 16:39:57.077,2.7936,32.1541,-110.8787,Arizona
Honolulu,2022-06-01 16:39:08.087,7.0848,21.3294,-157.8460,Hawaii
McAllen,2022-06-01 16:38:39.220,2.8256,26.2252,-98.2467,Texas
El Paso,2022-06-01 16:38:32.167,3.248,31.8476,-106.4300,Texas
Omaha,2022-06-01 16:38:25.383,4.1824,41.2627,-96.0529,Nebraska
Albuquerque,2022-06-01 16:37:56.803,3.696,35.1054,-106.6465,New Mexico
Birmingham,2022-06-01 16:37:47.670,1.7696,33.5279,-86.7971,Alabama
Sarasota,2022-06-01 16:37:21.337,4.8576,27.3387,-82.5432,Florida
Dayton,2022-06-01 16:37:17.793,3.1072,39.7805,-84.2003,Ohio
Rochester,2022-06-01 16:37:14.140,7.1264,43.1680,-77.6162,New York
Fresno,2022-06-01 16:36:56.437,5.6416,36.7830,-119.7939,California
Tulsa,2022-06-01 16:36:52.300,2.5152,36.1283,-95.9042,Oklahoma
Charleston,2022-06-01 16:35:59.363,1.4752,32.8168,-79.9687,South Carolina
Colorado Springs,2022-06-01 16:35:35.283,2.9824,38.8674,-104.7605,Colorado
Springfield,2022-06-01 16:35:29.677,5.9552,42.1155,-72.5395,Massachusetts
Grand Rapids,2022-06-01 16:35:29.223,5.5008,42.9619,-85.6562,Michigan
Ogden,2022-06-01 16:35:28.967,3.9072,41.2279,-111.9682,Utah
Columbia,2022-06-01 16:35:23.640,1.2096,34.0378,-80.9036,South Carolina
Baton Rouge,2022-06-01 16:35:19.400,3.1776,30.4420,-91.1311,Louisiana
Knoxville,2022-06-01 16:35:17.637,2.3456,35.9692,-83.9496,Tennessee
Mission Viejo,2022-06-01 16:35:14.753,6.6912,33.6096,-117.6551,California
Albany,2022-06-01 16:35:04.773,5.5904,42.6664,-73.7987,New York
Akron,2022-06-01 16:34:44.327,3.936,41.0798,-81.5219,Ohio
New Haven,2022-06-01 16:34:40.633,8.6176,41.3113,-72.9246,Connecticut
Provo,2022-06-01 16:34:37.833,3.4624,40.2457,-111.6457,Utah
Bakersfield,2022-06-01 16:34:30.843,3.1328,35.3529,-119.0359,California
Murrieta,2022-06-01 16:33:58.083,4.192,33.5719,-117.1909,California
Des Moines,2022-06-01 16:33:53.130,3.0176,41.5725,-93.6105,Iowa
Worcester,2022-06-01 16:33:50.433,6.1216,42.2705,-71.8079,Massachusetts
Mesa,2022-06-01 16:33:42.867,4.5312,33.4015,-111.7178,Arizona
Toledo,2022-06-01 16:33:32.597,4.2208,41.6638,-83.5827,Ohio
Palm Bay,2022-06-01 16:33:30.590,1.6256,27.9631,-80.6593,Florida
Staten Island,2022-06-01 16:33:29.697,10.5152,40.5834,-74.1496,New York
Wichita,2022-06-01 16:33:18.667,2.976,37.6895,-97.3443,Kansas
Harrisburg,2022-06-01 16:33:06.210,7.4944,40.2752,-76.8843,Pennsylvania
Long Beach,2022-06-01 16:32:56.030,11.2576,33.7977,-118.1670,California
Little Rock,2022-06-01 16:32:40.763,2.0384,34.7256,-92.3577,Arkansas
Madison,2022-06-01 16:32:39.450,4.0096,43.0822,-89.3930,Wisconsin
Greenville,2022-06-01 16:32:35.253,2.896,34.8354,-82.3646,South Carolina
Reno,2022-06-01 16:32:34.497,2.848,39.5497,-119.8483,Nevada
Port St. Lucie,2022-06-01 16:32:29.133,2.0288,27.2796,-80.3884,Florida
Lancaster,2022-06-01 16:32:24.570,10.1408,40.0420,-76.3012,Pennsylvania
Spokane,2022-06-01 16:32:20.800,3.936,47.6671,-117.4330,Washington
Denton,2022-06-01 16:32:19.850,1.7888,33.2175,-97.1418,Texas
Poughkeepsie,2022-06-01 16:32:17.337,7.2864,41.6950,-73.9211,New York
Oakland,2022-06-01 16:32:16.527,9.3344,37.7904,-122.2166,California
Winston-Salem,2022-06-01 16:32:10.343,2.288,36.1029,-80.2610,North Carolina
Syracuse,2022-06-01 16:32:01.893,7.0272,43.0407,-76.1437,New York
Boise,2022-06-01 16:32:01.500,3.3504,43.6005,-116.2308,Idaho
Chattanooga,2022-06-01 16:31:58.717,1.5712,35.0660,-85.2481,Tennessee
Augusta,2022-06-01 16:31:58.077,0.8064,33.3645,-82.0708,Georgia
Arlington,2022-06-01 16:31:51.220,5.12,32.6998,-97.1250,Texas
Stockton,2022-06-01 16:31:48.870,6.176,37.9765,-121.3109,California
Oxnard,2022-06-01 16:31:32.940,9.6736,34.1964,-119.1815,California
Modesto,2022-06-01 16:31:30.667,6.1536,37.6375,-121.0028,California
Indio,2022-06-01 16:31:21.123,3.344,33.7346,-116.2346,California
Kissimmee,2022-06-01 16:31:19.953,4.1568,28.3041,-81.4169,Florida
Youngstown,2022-06-01 16:31:17.490,2.336,41.0993,-80.6463,Ohio
Pensacola,2022-06-01 16:31:14.660,2.8832,30.4413,-87.1911,Florida
Lancaster,2022-06-01 16:31:07.570,2.064,34.6935,-118.1753,California
Anaheim,2022-06-01 16:31:07.037,8.6752,33.8390,-117.8574,California
Fayetteville,2022-06-01 16:31:04.947,1.9744,36.0714,-94.1661,Arkansas
Jackson,2022-06-01 16:31:04.323,1.8112,32.3157,-90.2125,Mississippi
Victorville,2022-06-01 16:31:04.227,2.0608,34.5277,-117.3536,California
Bonita Springs,2022-06-01 16:31:01.530,1.856,26.3558,-81.7859,Florida
Greensboro,2022-06-01 16:30:57.457,2.8064,36.0956,-79.8271,North Carolina
Corpus Christi,2022-06-01 16:30:56.980,2.4832,27.7254,-97.3767,Texas
Flint,2022-06-01 16:30:53.233,3.5456,43.0236,-83.6921,Michigan
Fayetteville,2022-06-01 16:30:47.317,1.76,35.0850,-78.9772,North Carolina
Santa Ana,2022-06-01 16:30:46.560,15.0304,33.7367,-117.8819,California
Fort Wayne,2022-06-01 16:30:43.120,2.992,41.0888,-85.1436,Indiana
Mobile,2022-06-01 16:30:42.560,1.68,30.6782,-88.1162,Alabama
Lansing,2022-06-01 16:30:40.330,3.7056,42.7142,-84.5601,Michigan
Ann Arbor,2022-06-01 16:30:37.543,5.3024,42.2759,-83.7310,Michigan
Huntsville,2022-06-01 16:30:31.230,1.1296,34.6981,-86.6412,Alabama
Lexington,2022-06-01 16:30:30.693,1.4016,38.0423,-84.4587,Kentucky
Santa Rosa,2022-06-01 16:30:27.827,5.1808,38.4458,-122.7067,California
Antioch,2022-06-01 16:30:27.483,4.72,37.9787,-121.7960,California
Asheville,2022-06-01 16:30:26.567,2.5056,35.5707,-82.5537,North Carolina
Henderson,2022-06-01 16:30:23.907,3.6032,36.0133,-115.0381,Nevada
St. Paul,2022-06-01 16:30:19.827,7.2704,44.9478,-93.1039,Minnesota
Fort Collins,2022-06-01 16:30:18.607,3.584,40.5477,-105.0656,Colorado
Lakeland,2022-06-01 16:30:14.217,2.0576,28.0557,-81.9545,Florida
Springfield,2022-06-01 16:30:09.180,2.512,37.1943,-93.2916,Missouri
The Woodlands,2022-06-01 16:30:08.893,3.264,30.1738,-95.5134,Texas
Shreveport,2022-06-01 16:30:05.337,2.176,32.4653,-93.7955,Louisiana
Trenton,2022-06-01 16:30:05.037,13.5936,40.2237,-74.7641,New Jersey
Plano,2022-06-01 16:30:02.820,4.976,33.0502,-96.7486,Texas
Round Lake Beach,2022-06-01 16:30:00.963,6.688,42.3791,-88.0811,Illinois
South Bend,2022-06-01 16:29:59.520,3.0208,41.6767,-86.2696,Indiana
Savannah,2022-06-01 16:29:58.380,1.68,32.0286,-81.1821,Georgia
Newark,2022-06-01 16:29:55.867,14.4256,40.7245,-74.1725,New Jersey
Davenport,2022-06-01 16:29:55.847,1.9776,41.5565,-90.6053,Iowa
Myrtle Beach,2022-06-01 16:29:55.130,1.7664,33.7094,-78.8844,South Carolina
Lincoln,2022-06-01 16:29:54.730,3.6192,40.8099,-96.6784,Nebraska
Rockford,2022-06-01 16:29:54.287,2.8192,42.2596,-89.0640,Illinois
Reading,2022-06-01 16:29:52.643,11.0848,40.3400,-75.9267,Pennsylvania
Canton,2022-06-01 16:29:51.720,3.3248,40.8078,-81.3676,Ohio
Irvine,2022-06-01 16:29:46.643,5.1328,33.6772,-117.7738,California
Eugene,2022-06-01 16:29:43.963,4.7648,44.0564,-123.1174,Oregon
Chula Vista,2022-06-01 16:29:42.730,6.688,32.6281,-117.0144,California
St. Petersburg,2022-06-01 16:29:37.950,5.2736,27.7931,-82.6652,Florida
Salem,2022-06-01 16:29:37.520,4.3488,44.9233,-123.0244,Oregon
Lafayette,2022-06-01 16:29:37.500,2.8032,30.2082,-92.0325,Louisiana
Laredo,2022-06-01 16:29:36.723,3.0208,27.5625,-99.4874,Texas
Jersey City,2022-06-01 16:29:36.603,22.0096,40.7184,-74.0686,New Jersey
Santa Clarita,2022-06-01 16:29:34.950,3.7088,34.4175,-118.4964,California
Aguadilla,2022-06-01 16:29:34.280,5.3792,18.4382,-67.1537,Puerto Rico
Wilmington,2022-06-01 16:29:34.120,2.9344,34.2099,-77.8866,North Carolina
Lubbock,2022-06-01 16:29:31.787,2.3584,33.5657,-101.8879,Texas
Chandler,2022-06-01 16:29:31.027,4.864,33.2825,-111.8514,Arizona
Scottsdale,2022-06-01 16:29:28.947,1.712,33.6872,-111.8651,Arizona
Tallahassee,2022-06-01 16:29:28.200,2.3584,30.4551,-84.2527,Florida
Montgomery,2022-06-01 16:29:27.490,1.536,32.3482,-86.2668,Alabama
Peoria,2022-06-01 16:29:27.410,2.8992,40.7520,-89.6154,Illinois
Glendale,2022-06-01 16:29:24.240,5.0176,33.5791,-112.2311,Arizona
Columbus,2022-06-01 16:29:23.460,1.1136,32.5100,-84.8771,Georgia
Anchorage,2022-06-01 16:29:22.853,0.2112,61.1508,-149.1091,Alaska
Gilbert,2022-06-01 16:29:22.300,4.4736,33.3100,-111.7463,Arizona
North Las Vegas,2022-06-01 16:29:21.197,3.0144,36.2883,-115.0888,Nevada
Avondale,2022-06-01 16:29:21.053,2.2496,33.3873,-112.3235,Arizona
McKinney,2022-06-01 16:29:18.487,3.5264,33.2016,-96.6670,Texas
Norfolk,2022-06-01 16:29:18.250,5.664,36.8945,-76.2590,Virginia
Chesapeake,2022-06-01 16:29:16.597,0.8832,36.6778,-76.3023,Virginia
Kennewick,2022-06-01 16:29:14.827,3.7184,46.1978,-119.1732,Washington
Winter Haven,2022-06-01 16:29:14.717,1.632,28.0118,-81.7014,Florida
Irving,2022-06-01 16:29:14.427,4.4352,32.8583,-96.9702,Texas
Garland,2022-06-01 16:29:12.573,5.1584,32.9100,-96.6304,Texas
York,2022-06-01 16:29:10.767,10.2752,39.9651,-76.7315,Pennsylvania
Concord,2022-06-01 16:29:10.577,1.8304,35.3933,-80.6369,North Carolina
Arlington,2022-06-01 16:29:10.383,11.2352,38.8786,-77.1011,Virginia
Atlantic City,2022-06-01 16:29:10.263,4.3392,39.3797,-74.4527,New Jersey
Visalia,2022-06-01 16:29:09.133,4.3328,36.3276,-119.3269,California
Fremont,2022-06-01 16:29:08.780,3.7024,37.5265,-121.9843,California
Hialeah,2022-06-01 16:29:07.827,13.3888,25.8696,-80.3045,Florida
Nashua,2022-06-01 16:29:05.360,3.568,42.7491,-71.4910,New Hampshire
Killeen,2022-06-01 16:29:05.263,3.344,31.0753,-97.7297,Texas
Gulfport,2022-06-01 16:29:04.107,1.5904,30.4274,-89.0704,Mississippi
Brownsville,2022-06-01 16:29:03.337,1.7088,25.9975,-97.4580,Texas
Evansville,2022-06-01 16:29:01.287,3.088,37.9881,-87.5341,Indiana
Appleton,2022-06-01 16:28:59.677,3.68,44.2780,-88.3892,Wisconsin
Navarre,2022-06-01 16:28:57.900,2,30.4174,-86.8907,Florida
Bel Air South,2022-06-01 16:28:56.783,3.1936,39.5022,-76.3113,Maryland
Kalamazoo,2022-06-01 16:28:54.510,3.8048,42.2749,-85.5882,Michigan
Bremerton,2022-06-01 16:28:53.487,1.792,47.5436,-122.7121,Washington
Spring Valley,2022-06-01 16:28:52.647,7.6096,36.0952,-115.2636,Nevada
San Bernardino,2022-06-01 16:28:50.733,4.3104,34.1416,-117.2943,California
Roanoke,2022-06-01 16:28:50.337,2.88,37.2785,-79.9581,Virginia
Spartanburg,2022-06-01 16:28:49.970,2.304,34.9442,-81.9251,South Carolina
Tacoma,2022-06-01 16:28:49.717,5.36,47.2431,-122.4531,Washington
Enterprise,2022-06-01 16:28:48.540,4.016,36.0091,-115.2278,Nevada
Green Bay,2022-06-01 16:28:48.387,2.8384,44.5148,-87.9895,Wisconsin
Portland,2022-06-01 16:28:47.937,3.824,43.6773,-70.2715,Maine
Thousand Oaks,2022-06-01 16:28:46.757,2.8512,34.1914,-118.8756,California
Fontana,2022-06-01 16:28:46.653,6.0992,34.0968,-117.4599,California
Hickory,2022-06-01 16:28:44.993,1.648,35.7410,-81.3223,North Carolina
Moreno Valley,2022-06-01 16:28:42.700,5.024,33.9244,-117.2045,California
Deltona,2022-06-01 16:28:39.863,3.04,28.9050,-81.2137,Florida
Fargo,2022-06-01 16:28:39.423,3.0624,46.8651,-96.8292,North Dakota
Santa Barbara,2022-06-01 16:28:39.167,5.7568,34.4285,-119.7202,California
College Station,2022-06-01 16:28:37.797,2.7936,30.5852,-96.2959,Texas
Gainesville,2022-06-01 16:28:37.490,2.6112,29.6804,-82.3459,Florida
Amarillo,2022-06-01 16:28:36.853,2.4032,35.1984,-101.8316,Texas
Norwich,2022-06-01 16:28:35.677,1.7216,41.5495,-72.0882,Connecticut
Olympia,2022-06-01 16:28:34.787,3.5456,47.0417,-122.8959,Washington
Yonkers,2022-06-01 16:28:34.133,13.7344,40.9466,-73.8673,New York
Huntington Beach,2022-06-01 16:28:33.727,9.1424,33.6960,-118.0018,California
Glendale,2022-06-01 16:28:33.307,8.08,34.1819,-118.2468,California
Aurora,2022-06-01 16:28:33.277,5.4688,41.7638,-88.2902,Illinois
Huntington,2022-06-01 16:28:33.083,3.5136,38.4109,-82.4345,West Virginia
Sunrise Manor,2022-06-01 16:28:32.137,7.2608,36.1783,-115.0487,Nevada
North Port,2022-06-01 16:28:29.797,0.8544,27.0576,-82.1977,Florida
Hagerstown,2022-06-01 16:28:28.553,4.064,39.6401,-77.7217,Maryland
Grand Prairie,2022-06-01 16:28:27.787,3.2992,32.6871,-97.0208,Texas
Overland Park,2022-06-01 16:28:27.363,3.1776,38.8870,-94.6870,Kansas
Paradise,2022-06-01 16:28:27.100,5.6256,36.0872,-115.1355,Nevada
Tempe,2022-06-01 16:28:25.557,5.9264,33.3881,-111.9319,Arizona
Salinas,2022-06-01 16:28:24.297,8.2048,36.6883,-121.6317,California
Erie,2022-06-01 16:28:23.463,6.2336,42.1167,-80.0733,Pennsylvania
Cedar Rapids,2022-06-01 16:28:22.567,2.2784,41.9662,-91.6783,Iowa
Waterbury,2022-06-01 16:28:22.557,4.672,41.5582,-73.0361,Connecticut
Frisco,2022-06-01 16:28:22.337,3.3888,33.1560,-96.8216,Texas
Waco,2022-06-01 16:28:20.647,1.9168,31.5599,-97.1882,Texas
Gastonia,2022-06-01 16:28:18.853,1.8304,35.2494,-81.1854,North Carolina
Clarksville,2022-06-01 16:28:17.747,1.9392,36.5692,-87.3413,Tennessee
Vancouver,2022-06-01 16:28:16.743,4.6336,45.6366,-122.5967,Washington
Lorain,2022-06-01 16:28:15.967,3.3408,41.4409,-82.1840,Ohio
Nampa,2022-06-01 16:28:15.837,3.5712,43.5844,-116.5638,Idaho
Fort Lauderdale,2022-06-01 16:28:15.767,6.4928,26.1412,-80.1464,Florida
Hemet,2022-06-01 16:28:14.330,3.5712,33.7341,-116.9969,California
Newport News,2022-06-01 16:28:13.533,3.216,37.1051,-76.5185,Virginia
Ontario,2022-06-01 16:28:12.143,4.4032,34.0393,-117.6064,California
Rancho Cucamonga,2022-06-01 16:28:12.010,5.4848,34.1247,-117.5667,California
Vallejo,2022-06-01 16:28:11.207,4.9248,38.1125,-122.2342,California
Oceanside,2022-06-01 16:28:09.643,5.2576,33.2247,-117.3083,California
Vero Beach South,2022-06-01 16:28:08.697,3.0048,27.6132,-80.4163,Florida
Ocala,2022-06-01 16:28:08.567,1.568,29.1780,-82.1511,Florida
Sioux Falls,2022-06-01 16:28:07.870,2.8256,43.5396,-96.7311,South Dakota
Danbury,2022-06-01 16:28:07.457,2.4864,41.4015,-73.4709,Connecticut
Elk Grove,2022-06-01 16:28:07.320,5.1008,38.4161,-121.3842,California
High Point,2022-06-01 16:28:07.273,2.464,35.9910,-79.9937,North Carolina
Garden Grove,2022-06-01 16:28:06.750,11.888,33.7787,-117.9601,California
Peoria,2022-06-01 16:28:06.060,1.2064,33.7843,-112.2989,Arizona
Pembroke Pines,2022-06-01 16:28:05.930,6.4992,26.0128,-80.3382,Florida
Medford,2022-06-01 16:28:05.610,3.9168,42.3372,-122.8540,Oregon
Murfreesboro,2022-06-01 16:28:03.193,2.7808,35.8490,-86.4121,Tennessee
Cary,2022-06-01 16:28:03.127,3.5264,35.7819,-78.8195,North Carolina
Lafayette,2022-06-01 16:28:02.113,3.0496,40.3991,-86.8593,Indiana
Corona,2022-06-01 16:28:02.063,5.2,33.8616,-117.5649,California
Santa Cruz,2022-06-01 16:27:59.883,6.304,36.9789,-122.0346,California
Spring Hill,2022-06-01 16:27:59.477,2.3424,28.4798,-82.5300,Florida
Muskegon,2022-06-01 16:27:58.087,3.2576,43.2281,-86.2562,Michigan
Manchester,2022-06-01 16:27:57.437,4.1984,42.9848,-71.4447,New Hampshire
Marysville,2022-06-01 16:27:56.650,4.144,48.0809,-122.1561,Washington
Springfield,2022-06-01 16:27:56.297,2.3232,39.7709,-89.6540,Illinois
Frederick,2022-06-01 16:27:52.817,3.7056,39.4337,-77.4141,Maryland
Hayward,2022-06-01 16:27:52.767,4.2816,37.6328,-122.0766,California
Alexandria,2022-06-01 16:27:52.260,13.0944,38.8185,-77.0861,Virginia
Bayamón,2022-06-01 16:27:51.467,7.2,18.3794,-66.1635,Puerto Rico
Port Arthur,2022-06-01 16:27:50.937,0.8736,29.8554,-93.9264,Texas
Lakewood,2022-06-01 16:27:49.683,4.4256,39.6977,-105.1172,Colorado
Fredericksburg,2022-06-01 16:27:49.363,3.4336,38.2992,-77.4872,Virginia
Leesburg,2022-06-01 16:27:48.250,0.7424,28.7672,-81.8962,Florida
Hollywood,2022-06-01 16:27:47.783,6.9664,26.0293,-80.1679,Florida
Palmdale,2022-06-01 16:27:47.190,1.7824,34.5944,-118.1057,California
Macon,2022-06-01 16:27:46.977,0.7552,32.8065,-83.6974,Georgia
Kansas City,2022-06-01 16:27:46.963,1.5136,39.1235,-94.7443,Kansas
Champaign,2022-06-01 16:27:46.890,4.7552,40.1142,-88.2737,Illinois
Sunnyvale,2022-06-01 16:27:46.520,8.544,37.3836,-122.0255,California
Pasadena,2022-06-01 16:27:46.487,4.3136,29.6575,-95.1498,Texas
Pomona,2022-06-01 16:27:45.073,8.1216,34.0585,-117.7626,California
Escondido,2022-06-01 16:27:44.347,4.9728,33.1348,-117.0723,California
Mauldin,2022-06-01 16:27:43.637,2.6944,34.7821,-82.3032,South Carolina
New Bedford,2022-06-01 16:27:43.520,5.888,41.6697,-70.9428,Massachusetts
Panama City,2022-06-01 16:27:43.317,1.264,30.1995,-85.6003,Florida
Tuscaloosa,2022-06-01 16:27:43.253,2.0064,33.2348,-87.5268,Alabama
Warner Robins,2022-06-01 16:27:42.120,2.5152,32.5961,-83.6527,Georgia
Naperville,2022-06-01 16:27:41.683,4.6688,41.7480,-88.1659,Illinois
Merced,2022-06-01 16:27:41.640,4.4672,37.3057,-120.4779,California
Elkhart,2022-06-01 16:27:41.630,2.3648,41.6916,-85.9627,Indiana
Joliet,2022-06-01 16:27:41.273,2.8192,41.5188,-88.1499,Illinois
Binghamton,2022-06-01 16:27:40.820,5.2832,42.1014,-75.9093,New York
Houma,2022-06-01 16:27:40.617,2.8224,29.5800,-90.7059,Louisiana
Bellevue,2022-06-01 16:27:40.097,5.3952,47.5951,-122.1535,Washington
Topeka,2022-06-01 16:27:39.667,2.528,39.0346,-95.6955,Kansas
Paterson,2022-06-01 16:27:39.433,21.3632,40.9147,-74.1624,New Jersey
Lake Charles,2022-06-01 16:27:38.980,2.1056,30.2010,-93.2111,Louisiana
Torrance,2022-06-01 16:27:38.380,8.6944,33.8346,-118.3416,California
Thornton,2022-06-01 16:27:38.137,4.9568,39.9197,-104.9438,Colorado
Tyler,2022-06-01 16:27:37.567,2.2752,32.3184,-95.3062,Texas
Athens,2022-06-01 16:27:37.030,1.3248,33.9508,-83.3689,Georgia
Beaumont,2022-06-01 16:27:36.710,1.7568,30.0849,-94.1451,Texas
Pueblo,2022-06-01 16:27:36.677,2.4928,38.2701,-104.6114,Colorado
Odessa,2022-06-01 16:27:36.530,2.9632,31.8801,-102.3448,Texas
Mesquite,2022-06-01 16:27:36.380,3.6288,32.7602,-96.5865,Texas
Fairfield,2022-06-01 16:27:35.993,3.4592,38.2583,-122.0335,California
Pasadena,2022-06-01 16:27:35.967,7.6416,34.1597,-118.1390,California
Charleston,2022-06-01 16:27:35.590,1.8528,38.3484,-81.6322,West Virginia
Fullerton,2022-06-01 16:27:35.010,7.7728,33.8841,-117.9279,California
Miramar,2022-06-01 16:27:34.430,6.0128,25.9773,-80.3351,Florida
Midland,2022-06-01 16:27:34.060,2.3104,32.0243,-102.1147,Texas
Gainesville,2022-06-01 16:27:33.457,1.5328,34.2902,-83.8294,Georgia
Orange,2022-06-01 16:27:33.273,6.704,33.8038,-117.8218,California
Olathe,2022-06-01 16:27:33.167,2.7776,38.8833,-94.8200,Kansas
Santa Maria,2022-06-01 16:27:33.023,5.7152,34.9333,-120.4431,California
Surprise,2022-06-01 16:27:32.957,1.5552,33.6815,-112.4515,Arizona
Roseville,2022-06-01 16:27:32.810,3.8912,38.7703,-121.3196,California
Metairie,2022-06-01 16:27:32.460,7.3568,29.9977,-90.1780,Louisiana
Yuma,2022-06-01 16:27:31.563,0.9952,32.5995,-114.5491,Arizona
Carrollton,2022-06-01 16:27:31.270,4.6272,32.9890,-96.8999,Texas
Burlington,2022-06-01 16:27:31.047,2.2368,36.0760,-79.4685,North Carolina
West Valley City,2022-06-01 16:27:29.560,4.6752,40.6886,-112.0123,Utah
Hampton,2022-06-01 16:27:29.120,3.2448,37.0551,-76.3630,Virginia
Racine,2022-06-01 16:27:28.630,6.1376,42.7274,-87.8135,Wisconsin
Greeley,2022-06-01 16:27:28.367,2.7104,40.4152,-104.7706,Colorado
Harlingen,2022-06-01 16:27:28.257,2,26.1916,-97.6977,Texas
