measurement,device,temptype,celcius,fahrenheit,datetime
sensors,64,ambient,17.78,64,2023-07-18 15:49:45.600
sensors,65,ambient,18.33,65,2023-07-18 15:48:45.600
sensors,66,ambient,18.89,66,2023-07-18 15:47:45.600
sensors,67,ambient,19.44,67,2023-07-18 15:46:45.600
sensors,68,ambient,20.00,68,2023-07-18 15:45:45.600
sensors,69,ambient,20.56,69,2023-07-18 15:44:45.600
sensors,70,ambient,21.11,70,2023-07-18 15:43:45.600
sensors,71,ambient,21.67,71,2023-07-18 15:42:45.600
sensors,72,ambient,22.22,72,2023-07-18 15:41:45.600
sensors,73,ambient,22.78,73,2023-07-18 15:40:45.600
sensors,74,ambient,23.33,74,2023-07-18 15:39:45.600
sensors,75,ambient,23.89,75,2023-07-18 15:38:45.600
sensors,76,ambient,24.44,76,2023-07-18 15:37:45.600
sensors,77,ambient,25.00,77,2023-07-18 15:36:45.600
sensors,78,ambient,25.56,78,2023-07-18 15:35:45.600
sensors,79,ambient,26.11,79,2023-07-18 15:34:45.600
sensors,80,ambient,26.67,80,2023-07-18 15:33:45.600
sensors,81,ambient,27.22,81,2023-07-18 15:32:45.600
sensors,82,ambient,27.78,82,2023-07-18 15:31:45.600
sensors,83,ambient,28.33,83,2023-07-18 15:30:45.600
sensors,84,ambient,28.89,84,2023-07-18 15:29:45.600
sensors,85,ambient,29.44,85,2023-07-18 15:28:45.600
sensors,86,ambient,30.00,86,2023-07-18 15:27:45.600
sensors,87,ambient,30.56,87,2023-07-18 15:26:45.600
sensors,88,ambient,31.11,88,2023-07-18 15:25:45.600
sensors,89,ambient,31.67,89,2023-07-18 15:24:45.600
sensors,90,ambient,32.22,90,2023-07-18 15:23:45.600
sensors,91,ambient,32.78,91,2023-07-18 15:22:45.600
sensors,92,ambient,33.33,92,2023-07-18 15:21:45.600
sensors,93,ambient,33.89,93,2023-07-18 15:20:45.600
sensors,94,ambient,34.44,94,2023-07-18 15:19:45.600
sensors,95,ambient,35.00,95,2023-07-18 15:18:45.600
sensors,96,ambient,35.56,96,2023-07-18 15:17:45.600
sensors,97,ambient,36.11,97,2023-07-18 15:16:45.600
sensors,98,ambient,36.67,98,2023-07-18 15:15:45.600
sensors,99,ambient,37.22,99,2023-07-18 15:14:45.600
sensors,100,ambient,37.78,100,2023-07-18 15:13:45.600
